State,District,Subdistt,Town/Village,Name,Level,TOT_P,No_HH,TOT_M,TOT_F,P_LIT,P_ILL,TOT_WORK_P,Village Code,Village Name,Tap Water-Treated (Status A(1)/NA(2)),Power Supply For All Users (Status A(1)/NA(2)),Hospital Allopathic (Numbers),Govt Primary School (Status A(1)/NA(2)),Govt Secondary School (Status A(1)/NA(2)),Black Topped (pucca) Road (Status A(1)/NA(2)),Public Bus Service (Status A(1)/NA(2)),ATM (Status A(1)/NA(2)),Has_Hospital
19,341,2398,332476,Dihi Bhursut,VILLAGE,4602,1070,2293,2309,3286,1316,1930,332476,Dihi Bhursut,True,True,0.0,True,False,True,False,False,False
19,341,2398,332477,Asanda,VILLAGE,3740,825,1920,1820,2856,884,1436,332477,Asanda,True,True,0.0,True,True,True,False,False,False
19,341,2398,332478,Rampur,VILLAGE,4765,1118,2481,2284,3413,1352,1960,332478,Rampur,True,True,0.0,True,False,True,False,False,False
19,341,2398,332479,Dakshin Rampur,VILLAGE,1375,329,695,680,988,387,552,332479,Dakshin Rampur,False,True,0.0,True,False,False,False,False,False
19,341,2398,332480,Harili,VILLAGE,3798,941,1970,1828,2535,1263,1804,332480,Harili,False,True,0.0,True,True,False,False,False,False
19,341,2398,332481,Piarapur,VILLAGE,1785,434,948,837,1247,538,758,332481,Piarapur,False,True,0.0,True,False,False,False,False,False
19,341,2398,332482,Goja,VILLAGE,4203,1017,2146,2057,3321,882,1736,332482,Goja,True,True,0.0,True,True,True,False,False,False
19,341,2398,332483,Sultanpur,VILLAGE,2697,623,1420,1277,1924,773,1315,332483,Sultanpur,False,False,0.0,True,False,True,False,False,False
19,341,2398,332484,Sitapur,VILLAGE,2451,550,1271,1180,1714,737,1139,332484,Sitapur,False,False,0.0,True,False,False,False,False,False
19,341,2398,332485,Khempur,VILLAGE,1415,314,749,666,1096,319,584,332485,Khempur,False,True,0.0,True,False,False,False,False,False
19,341,2398,332486,Baira Kurchi,VILLAGE,1185,287,616,569,964,221,453,332486,Baira Kurchi,False,True,0.0,True,False,True,False,False,False
19,341,2398,332487,Khalatpur,VILLAGE,3776,628,2040,1736,2953,823,1099,332487,Khalatpur,True,True,0.0,True,True,True,False,False,False
19,341,2398,332488,Ghola,VILLAGE,2369,544,1181,1188,1808,561,1078,332488,Ghola,True,True,0.0,True,False,True,False,False,False
19,341,2398,332489,Harihar Dwitiya,VILLAGE,1580,361,832,748,1195,385,635,332489,Harihar Dwitiya,False,True,0.0,True,False,False,False,False,False
19,341,2398,332490,Kurchi Binodbati,VILLAGE,6522,1561,3341,3181,4639,1883,3158,332490,Kurchi Binodbati,True,True,0.0,True,False,True,False,False,False
19,341,2398,332491,Pratap Chak,VILLAGE,1090,270,536,554,817,273,465,332491,Pratap Chak,False,True,0.0,True,False,True,False,False,False
19,341,2398,332492,Udaynarayanpur,VILLAGE,1575,360,788,787,1298,277,690,332492,Udaynarayanpur,False,True,0.0,True,True,False,False,False,False
19,341,2398,332493,Sibpur,VILLAGE,4965,1056,2557,2408,3766,1199,2087,332493,Sibpur,True,True,0.0,True,True,True,False,False,False
19,341,2398,332494,Etarai,VILLAGE,1689,417,886,803,1186,503,753,332494,Etarai,True,True,0.0,True,False,True,False,False,False
19,341,2398,332495,Khorda Etarai,VILLAGE,809,188,438,371,569,240,294,332495,Khorda Etarai,False,True,0.0,True,False,True,False,False,False
19,341,2398,332496,Pancharul,VILLAGE,6678,1558,3452,3226,4714,1964,2854,332496,Pancharul,True,True,1.0,True,True,True,True,False,True
19,341,2398,332497,Uttar Harishpur,VILLAGE,4152,987,2148,2004,2584,1568,1780,332497,Uttar Harishpur,True,True,0.0,True,True,True,False,False,False
19,341,2398,332498,Kakraipota,VILLAGE,2336,565,1200,1136,1917,419,1011,332498,Kakraipota,True,True,0.0,True,True,True,False,False,False
19,341,2398,332499,Subal Chak,VILLAGE,1477,369,769,708,1170,307,651,332499,Subal Chak,True,True,0.0,True,False,True,False,False,False
19,341,2398,332500,Uttar Manasri,VILLAGE,5555,1310,2874,2681,3459,2096,2094,332500,Uttar Manasri,False,True,0.0,True,True,True,False,False,False
19,341,2398,332501,Abhirampur,VILLAGE,3796,879,1946,1850,2299,1497,1886,332501,Abhirampur,False,True,0.0,True,False,False,False,False,False
19,341,2398,332502,Ray Chak,VILLAGE,309,71,159,150,200,109,125,332502,Ray Chak,True,False,0.0,False,False,False,False,False,False
19,341,2398,332503,Dakshin Singti,VILLAGE,1233,280,629,604,814,419,516,332503,Dakshin Singti,True,True,0.0,True,False,False,False,False,False
19,341,2398,332504,Kalikapur,VILLAGE,771,187,403,368,604,167,439,332504,Kalikapur,True,True,0.0,False,False,False,False,False,False
19,341,2398,332505,Chak Baharampur,VILLAGE,992,204,514,478,805,187,486,332505,Chak Baharampur,True,True,0.0,True,False,False,False,False,False
19,341,2398,332506,Purpat,VILLAGE,1031,208,538,493,747,284,570,332506,Purpat,True,True,0.0,True,False,False,False,False,False
19,341,2398,332507,Kumirmora,VILLAGE,1997,424,1019,978,1517,480,779,332507,Kumirmora,False,False,0.0,True,False,False,False,False,False
19,341,2398,332508,Sinti,VILLAGE,6324,1508,3242,3082,4632,1692,3181,332508,Sinti,False,False,0.0,True,False,False,False,False,False
19,341,2398,332509,Rajapur,VILLAGE,1810,397,896,914,1263,547,780,332509,Rajapur,True,True,0.0,True,False,False,False,False,False
19,341,2398,332510,Sibanipur,VILLAGE,1404,337,734,670,1059,345,690,332510,Sibanipur,True,True,0.0,True,False,True,True,False,False
19,341,2398,332511,Jangalpara Belgram,VILLAGE,4975,1172,2547,2428,3776,1199,2028,332511,Jangalpara Belgram,True,True,1.0,True,False,True,False,True,True
19,341,2398,332512,Senpur Dwitiya,VILLAGE,258,65,127,131,163,95,125,332512,Senpur Dwitiya,False,False,0.0,True,False,False,False,False,False
19,341,2398,332513,Akna Dwitiya,VILLAGE,851,208,452,399,694,157,444,332513,Akna Dwitiya,False,True,0.0,True,False,False,False,False,False
19,341,2398,332514,Chak Thakurani,VILLAGE,828,212,392,436,525,303,474,332514,Chak Thakurani,False,False,0.0,True,False,False,False,False,False
19,341,2398,332515,Sonagachhi,VILLAGE,641,145,337,304,472,169,330,332515,Sonagachhi,False,True,0.0,True,False,False,False,False,False
19,341,2398,332516,Joka,VILLAGE,2509,556,1293,1216,1865,644,1086,332516,Joka,False,True,0.0,True,False,True,False,False,False
19,341,2398,332517,Jagalda,VILLAGE,906,219,463,443,650,256,376,332517,Jagalda,False,False,0.0,True,False,True,False,False,False
19,341,2398,332518,Jaynagar,VILLAGE,2179,505,1113,1066,1622,557,1018,332518,Jaynagar,False,True,0.0,True,False,False,False,False,False
19,341,2398,332519,Naranarayanpur Chak,VILLAGE,1179,276,596,583,870,309,574,332519,Naranarayanpur Chak,False,True,0.0,True,False,False,False,False,False
19,341,2398,332520,Mansuka,VILLAGE,2583,583,1327,1256,1985,598,1181,332520,Mansuka,False,True,0.0,True,True,False,False,False,False
